MERCURY,0.330,4879,5427,3.7,4.3,1407.6,4222.6,57.9,88.0,47.4,167,0,0,No,Yes 
VENUS,4.87,12104,5243,8.9,10.4,-5832.5,2802.0,108.2,224.7,35.0,464,92,0,No,No 
EARTH,5.97,12756,5514,9.8,11.2,23.9,24.0,149.6,365.2,29.8,15,1,1,No,Yes 
MARS,0.642,6792,3933,3.7,5.0,24.6,24.7,227.9,687.0,24.1,-65,0.01,2,No,No 
JUPITER,1898,142984,1326,23.1,59.5,9.9,9.9,778.6,4331,13.1,-110,Unknown*,79,Yes,Yes 
SATURN,568,120536,687,9.0,35.5,10.7,10.7,1433.5,10747,9.7,-140,Unknown*,82,Yes,Yes 
URANUS,86.8,51118,1271,8.7,21.3,-17.2,17.2,2872.5,30589,6.8,-195,Unknown*,27,Yes,Yes 
NEPTUNE,102,49528,1638,11.0,23.5,16.1,16.1,4495.1,59800,5.4,-200,Unknown*,14,Yes,Yes
